game 2
ply 37|0031120000031200033002210000000002003010010220300130000|7 7 7 0|0 0 0 0|0 0 0 0|1|0||1 2 7 8 9 11 15 17 20 21 25 26 27 28 29 30 31 32 33 35 36 38 40 41 43 48 49 52 53 54 55
ply 25|0031120000031200033002211000000002003010010220300130000|6 7 7 0|0 0 0 0|0 0 0 0|2|0||1 2 7 8 9 10 11 15 16 17 20 21 26 27 28 29 30 31 32 33 35 36 38 40 41 43 46 48 49 52 53 54 55
ply 32|0031120000031200033002211000000202003010010220300130000|6 6 7 0|0 0 0 0|0 0 0 0|3|0||1 7 8 9 10 11 15 16 17 20 21 26 27 28 29 30 31 33 35 36 38 41 43 46 48 49 52 53 54 55
ply 10|0031120003031200033002211000000202003010010220300130000|6 6 6 0|0 0 0 0|0 0 0 0|1|0||1 2 7 8 9 11 15 17 20 21 26 27 28 29 30 31 33 35 36 38 40 41 43 48 49 52 53 54 55
ply 49|0031120003031200033002211000000202003010010220301130000|5 6 6 0|0 0 0 0|0 0 0 0|2|0||1 2 7 8 9 11 15 16 17 20 21 26 27 28 29 30 31 33 35 36 38 41 43 46 48 52 53 54 55
ply 28|0031120003031200033002211002000202003010010220301130000|5 5 6 0|0 0 0 0|0 0 0 0|3|0||1 7 8 9 11 15 16 20 21 26 27 29 30 31 33 35 36 38 41 43 46 48 52 53 54 55
ply 53|0031120003031200033002211002000202003010010220301130300|5 5 5 0|0 0 0 0|0 0 0 0|1|0||1 2 7 8 9 11 15 17 20 21 26 27 29 30 31 33 35 36 38 40 41 43 48 52 54 55
ply 41|0031120003031200033002211002000202003010110220301130300|4 5 5 0|0 0 0 0|0 0 0 0|2|0||1 2 7 8 9 11 15 16 17 20 21 26 27 29 30 31 33 35 36 38 43 46 48 52 54 55
ply 36|0031120003031200033002211002000202023010110220301130300|4 4 5 0|0 0 0 0|0 0 0 0|3|0||1 7 8 9 11 15 16 20 21 26 27 29 30 31 33 35 38 43 46 48 52 55
ply 15|0031120003031230033002211002000202023010110220301130300|4 4 4 0|0 0 0 0|0 0 0 0|1|0||1 2 7 8 9 11 17 20 21 26 27 29 30 31 33 35 38 40 43 48 52 54 55
ply 40|0031120003031230033002211002000202023011110220301130300|3 4 4 0|0 0 0 0|0 0 0 0|2|0||1 2 7 8 9 11 16 17 20 21 26 27 29 30 31 33 35 38 43 46 48 52 54 55
ply 2|0231120003031230033002211002000202023011110220301130300|3 3 4 0|0 0 0 0|0 0 0 0|3|0||1 7 8 9 11 16 20 21 26 27 29 30 31 33 35 38 43 46 48 52 55
ply 30|0231120003031230033002211002030202023011110220301130300|3 3 3 0|0 0 0 0|0 0 0 0|1|0||1 7 8 9 11 17 20 21 26 27 29 31 33 35 38 43 48 52 54 55
ply 26|0231120003031230033002211102030202023011110220301130300|2 3 3 0|0 0 0 0|0 0 0 0|2|0||7 8 9 11 16 17 20 21 27 29 31 33 35 38 43 46 48 52 54 55
